Ticket #,Tab,Vendor,MSC Part #,Material,Material Grade,Coolant,Interrupted Cut,Machine Type,Insert Number,Insert Grade,Surface Feet Per Minute,Inches Per Revolution,Total Depth of Cut in Inches,Number of Parts Per Insert Edge,Tool Life,Index Time in Seconds,Annual Part Production,Burden Rate Per Hour,Insert Cost Per Each Insert,Number of Edges per Insert,Cycle Time Per Part in Seconds
001016799,Current,VARGUS LTD TOOL MANUFACTURERS,,Austenitic Stainless Steels,316L,Wet,None,CNC LATHE,16IR14NPT,V56,320.0,0.047,0.1,25.0,3.1591149,360,15000,65,27.45,3,7.58187576
001016799,Actual,SECO,88927868,Austenitic Stainless Steels,316L,Wet,None,CNC LATHE,16NRAG60,CP300,450.0,0.047,0.1,95.0,8.53663008,360,15000,65,20.80,3,5.39155584
001016798,Current,VARGUS LTD TOOL MANUFACTURERS,,Austenitic Stainless Steels,316L,Wet,None,CNC LATHE,16ER14NPT,V56,320.0,0.047,0.1,30.0,3.79093788,360,15000,65,28.21,3,7.58187576
001016798,Actual,SECO,70482526,Austenitic Stainless Steels,316L,Wet,None,CNC LATHE,16ERAG60,CP500,430.0,0.047,0.1,86.0,8.087334048,360,15000,65,26.00,3,5.64232608
001016797,Current,VARGUS LTD TOOL MANUFACTURERS,,Austenitic Stainless Steels,316L,Wet,None,CNC LATHE,16ER14NPT,V56,320.0,0.047,0.1,30.0,3.79093788,360,15000,65,28.21,3,7.58187576
001016797,Actual,SECO,70481833,Austenitic Stainless Steels,316L,Wet,None,CNC LATHE,16ER14NPT,CP500,420.0,0.047,0.1,90.0,8.66500092,360,15000,65,29.10,3,5.77666728
001016796,Current,"ISCAR METALS, INC.",,Austenitic Stainless Steels,316L,Wet,Heavy,CNC Lathe,CNMG431,IC328,320.0,0.006,0.25,10.0,5.99912738,360,15000,65,14.35,4,35.99476428
001016796,Actual,SECO,45680519,Austenitic Stainless Steels,316L,Wet,Heavy,CNC Lathe,CNMG433M5,TP3500,420.0,0.01,0.25,62.0,17.003240964000003,360,15000,65,14.10,4,16.45474932
001016794,Current,SANDVIK HARD MATERIALS,,"Med-High Plain-Carbon,Alloy, Tool Steels",8620,Wet,None,CHUCK LATHE,VNMG 331 PF,1525,750.0,0.006,0.008,2000.0,104.71203999999999,2,250000,135,17.1,4,3.1413612
001016794,Actual,KENNAMETAL,79260626,"Med-High Plain-Carbon,Alloy, Tool Steels",8620,Wet,None,CHUCK LATHE,VNMG 331FP,KC5010,750.0,0.006,0.008,2000.0,104.71203999999999,2,250000,135,13.82,4,3.1413612
001016791,Current,SANDVIK HARD MATERIALS,,"Med-High Plain-Carbon,Alloy, Tool Steels",4340,Wet,None,Miano 10,R166.OG-16UN01-280,GC1020,350.0,0.03125,0.02,180.0,40.38892956,120,80000,100.00,19.75,3,13.46297652
001016791,Actual,CARMEX PRECISION TOOLS LTD,77961415,"Med-High Plain-Carbon,Alloy, Tool Steels",4340,Wet,None,Miano 10,16ER-28UN,BLU,350.0,0.03125,0.02,280.0,62.82722376,120,80000,100.00,16.00,3,13.46297652
001016789,Current,"ISCAR METALS, INC.",,Austenitic Stainless Steels,303,Wet,None,Okuma 10,CNMG 432-TF,IC907,550.0,0.01,0.21,4.0,2.056163724,60,5000,100.00,5.32,4,30.84245586
001016789,Actual,SECO,85394781,Austenitic Stainless Steels,303,Wet,None,Okuma 10,CNMG 432-MF4,TM4000,550.0,0.01,0.21,20.0,10.280818620000002,60,5000,100.00,9.90,4,30.84245586
001016774,Current,SANDVIK HARD MATERIALS,,Misc Non-Ferrous/Non-Metals,Carbon Composites,Dry,None,lathe,WNMG 432,3025,800.0,0.012,0.05,25.0,3.9676047000000008,180,1000000,60.00,11.78,6,9.52225128
001016774,Actual,SECO,45416112,Misc Non-Ferrous/Non-Metals,Carbon Composites,Dry,None,lathe,WNMG 432-M5,TK2001,800.0,0.012,0.05,25.0,3.9676047000000008,180,1000000,60.00,8.86,6,9.52225128
001016751,Current,SANDVIK HARD MATERIALS,,Ductile (Nodular) & Malleable Cast Irons,100-70-03,Wet,Light,CNC LATHE,WNMG432QM,2025,800.0,0.014,0.3,6.0,3.9267015600000006,360,6000,65,17.56,6,39.2670156
001016751,Actual,SECO,45680964,Ductile (Nodular) & Malleable Cast Irons,100-70-03,Wet,Light,CNC LATHE,WNMG432MF3,TP3500,930.0,0.014,0.3,30.0,16.88903898,360,6000,65,18.21,6,33.77807796
001016735,Current,MITSUBISHI MATERIALS U.S.A. CO,,Austenitic Stainless Steels,304,Wet,Light,Doosan 800,WNMG 432,UC 6010,500.0,0.012,0.1,1.0,42.146596863,60,400,100,10.50,4,2528.79581178
001016735,Actual,SECO,93437317,Austenitic Stainless Steels,304,Wet,Light,Doosan 800,WNMG 432,TM2000,850.0,0.012,0.1,6.0,148.75269483600002,60,400,100,11.75,5,1487.52694836
001016714,Current,WIDIA,,Gray Cast Irons,class 20,Wet,None,Miyano,WNMA 432,WK20CT,600.0,0.01,0.1,20.0,26.178010439999998,180,18000,65,9.69,6,78.53403132
001016714,Actual,SUMITOMO ELECTRIC CARBIDE INC,00443598,Gray Cast Irons,class 20,Wet,None,Miyano,CNMA 432,AC700G,600.0,0.01,0.2,80.0,73.29842928000001,180,18000,65,6.5,6,54.97382196
001016691,Current,WIDIA,,Gray Cast Irons,class 20,Wet,None,Miyano,CNMA 432,WK20CT,600.0,0.01,0.2,20.0,18.324607320000002,180,18000,65,9.41,4,54.97382196
001016691,Actual,SUMITOMO ELECTRIC CARBIDE INC,00443598,Gray Cast Irons,class 20,Wet,None,Miyano,CNMA432,AC700G,600.0,0.01,0.2,80.0,73.29842928000001,180,18000,65,6.5,4,54.97382196
001016684,Current,SANDVIK HARD MATERIALS,,"Ferritic, Martensitic, PH Stainless Steels",17-4PH,Wet,None,lathe,CNMG432MM,2025,400.0,0.01,0.02,40.0,19.63350784,180,20000,75,10.72,4,29.45026176
001016684,Actual,KENNAMETAL,7639842,"Ferritic, Martensitic, PH Stainless Steels",17-4PH,Wet,None,lathe,CNMG432MP,KCM25,400.0,0.01,0.025,100.0,30.677356,180,20000,75,10.86,4,18.4064136
001016632,Current,"ISCAR METALS, INC.",,Free-Machining Steels,1109,Dry,Heavy,slant lathe,TCMT 2-1-SM,IC3028,1400.0,0.007,0.22,55.0,7.713163754999999,2,52000,85,10.05,3,8.41436046
001016632,Actual,SECO,84391580,Free-Machining Steels,1109,Wet,Heavy,slant lathe,TCMT21.5F1,TP2500,1725.0,0.008,0.22,55.0,5.477464135,2,52000,85,14.20,3,5.97541542
001016602,Current,WALTER-WAUKESHA,,Free-Machining Steels,1151,Wet,Light,seki lathe,Wpht 21.51,wpp25,600.0,0.004,0.05,6.0,62.827225127999995,60,500,60,12.00,6,628.27225128
001016602,Actual,KENNAMETAL,48442065,Free-Machining Steels,1151,Wet,Light,seki lathe,WPHT 21.51,KC5010,650.0,0.0055,0.05,100.0,702.9619592,60,500,60,13.37,6,421.77717552
001016593,Current,"ISCAR METALS, INC.",,"Nickel-Base, Heat Resistant Alloys",MAR-M200,Wet,None,mori seiki lathe,wnmg 432,ic908,150.0,0.006,0.03,2.0,1.7452006960000002,60,1000,60,14.00,6,52.35602088
001016593,Actual,SECO,72494255,"Nickel-Base, Heat Resistant Alloys",MAR-M200,Wet,None,mori seiki lathe,wnmg 432 mf4,ts2500,200.0,0.008,0.03,4.0,1.963350784,60,1000,60,13.50,6,29.45026176
001016592,Current,KENNAMETAL,,Misc Non-Ferrous/Non-Metals,Copper,Wet,None,CNC LATHE,DCGT3251HP,KC5410,1100.0,0.003,0.2,300.0,128.5102332,360,10000,65,19.05,2,25.70204664
001016592,Actual,"ISCAR METALS, INC.",41214057,Misc Non-Ferrous/Non-Metals,Copper,Wet,None,CNC LATHE,DCGT3-1-AF,IC20,1100.0,0.004,0.2,650.0,208.82912895,360,10000,65,18.84,2,19.27653498
001016574,Current,CARMEX PRECISION TOOLS LTD,,"Med-High Plain-Carbon,Alloy, Tool Steels",4130,Wet,None,Hass,22ER 6 Stub Acme,MXC,400.0,0.0625,0.007,21.0,128.63874332400002,60,3000,100,22.10,3,367.53926664
001016574,Actual,SECO,32154742,"Med-High Plain-Carbon,Alloy, Tool Steels",4130,Wet,None,Hass,22ER 6 Stub Acme,CP500,500.0,0.0625,0.007,35.0,171.51832425,60,3000,100,29.85,3,294.031413
001016571,Current,VALENITE INC,,"Med-High Plain-Carbon,Alloy, Tool Steels",5120,Wet,None,ROLL TURNING LATHE,SNMG644R4,VP5525,65.0,0.0295,0.065,1.0,205.69704539199998,360,50,60,28.00,8,12341.82272352
001016571,Actual,HERTEL,84285790,"Med-High Plain-Carbon,Alloy, Tool Steels",5120,Wet,None,ROLL TURNING LATHE,SNMG644R,HC335,149.0,0.026,0.065,1.0,101.813134702,360,50,60,29.16,8,6108.78808212
001016427,Current,KENNAMETAL,,"Med-High Plain-Carbon,Alloy, Tool Steels",4340,Wet,None,Mori seiki,CNMG432RP,KC9125,650.0,0.014,0.047,9.0,54.0706806,90,300,90,9.82,4,360.471204
001016427,Actual,STELLRAM,65266595,"Med-High Plain-Carbon,Alloy, Tool Steels",4340,Wet,None,Mori seiki,CNMG432A-4T,NL40,650.0,0.014,0.113,10.0,24.031413599999997,90,300,90,7.58,4,144.1884816
001016425,Current,WALTER-WAUKESHA,,Ductile (Nodular) & Malleable Cast Irons,A47,Wet,Light,Mori Lathe,RCMT120400,WAK 20,600.0,0.015,0.05,2.0,31.413612564,90,2500,52.50,9.40,8,942.40837692
001016425,Actual,KENNAMETAL,08340721,Ductile (Nodular) & Malleable Cast Irons,A47,Wet,Light,Mori Lathe,RCMT43,KCK20,600.0,0.015,0.05,4.0,62.827225128,90,2500,52.50,11.26,8,942.40837692
001016424,Current,SUMITOMO ELECTRIC CARBIDE INC,,Misc Non-Ferrous/Non-Metals,Graphite Composites,Wet,None,MORI ZL-25 / 20,GFN 3,IC20,1200.0,0.003,0.118,50.0,9.08958695,45,6500,80.00,10.65,1,10.90750434
001016424,Actual,SUMITOMO ELECTRIC CARBIDE INC,70223888,Misc Non-Ferrous/Non-Metals,Graphite Composites,Wet,None,MORI ZL-25 / 20,TIP-WCFN3A,DA1000,3000.0,0.004,0.118,750.0,40.90314075,45,6500,80.00,135.88,1,3.27225126
001016419,Current,SECO,,"Ferritic, Martensitic, PH Stainless Steels",416,Wet,None,lathe 20 hp,DNMG432MF,TP1500S,190.0,0.007,0.1,5.0,62.98468684,120,12000,100.00,15.00,4,755.81624208
001016419,Actual,KENNAMETAL,65854101,"Ferritic, Martensitic, PH Stainless Steels",416,Wet,None,lathe 20 hp,DNMG432RP,KCP10,350.0,0.007,0.1,9.0,61.545036852,120,12000,100.00,15.00,4,410.30024568
001016414,Current,SANDVIK HARD MATERIALS,,Austenitic Stainless Steels,304,Wet,None,swiss,dpmt32.51,gc1125,300.0,0.003,0.02,15.0,4.363001745,180,7500,65,19.75,2,17.45200698
001016414,Actual,WALTER-WAUKESHA,71434633,Austenitic Stainless Steels,304,Wet,None,swiss,dpmt32.51pm,5615,300.0,0.003,0.02,20.0,5.81733566,180,7500,65,15,2,17.45200698
001016413,Current,SUMITOMO ELECTRIC CARBIDE INC,,"Med-High Plain-Carbon,Alloy, Tool Steels",8620,Wet,Light,horz Lathe,CNMG542 EU,YB100,325.0,0.018,0.15,13.0,66.550319953,180,3000,78,6.5,2,307.15532286
001016413,Actual,TUNGALOY,52750197,"Med-High Plain-Carbon,Alloy, Tool Steels",8620,Wet,Light,horz Lathe,CNMG 542,T9105,325.0,0.018,0.15,25.0,127.98138452500001,180,3000,78,8.78,4,307.15532286
001016410,Current,SANDVIK HARD MATERIALS,,Austenitic Stainless Steels,303,Wet,None,swiss,n123e2-0200-0002,gc2135,200.0,0.003,0.075,40.0,2.79232104,180,7500,65,28.57,2,4.18848156
001016410,Actual,WALTER-WAUKESHA,00122036,Austenitic Stainless Steels,303,Wet,None,swiss,VTG198N20PG,5820,200.0,0.003,0.075,60.0,4.18848156,180,7500,65,23,2,4.18848156
001016409,Current,SUMITOMO ELECTRIC CARBIDE INC,,"Med-High Plain-Carbon,Alloy, Tool Steels",8620,Wet,Light,larthe/ horz,CNMG 542 EU,YB100,500.0,0.017,0.15,13.0,102.099245469,240,3000,78,6.50,2,471.22728678
001016409,Actual,TUNGALOY,52750197,"Med-High Plain-Carbon,Alloy, Tool Steels",8620,Wet,Light,larthe/ horz,CNMG542,T9105,500.0,0.017,0.15,25.0,196.34470282499998,240,3000,78,8.78,4,471.22728678
001016406,Current,CERATIZIT U.S.A.,,"Med-High Plain-Carbon,Alloy, Tool Steels",4320,Dry,Heavy,lathe,1.42015,nl30,100.0,0.04,0.3,0.5,424.0837700775,120,2400,65,25,4,50890.0524093
001016406,Actual,KENNAMETAL,57756181,"Med-High Plain-Carbon,Alloy, Tool Steels",4320,Dry,Heavy,lathe,1.42015,kcp40,100.0,0.04,0.3,0.5,339.267016062,120,2400,65,25,4,40712.04192744
001016398,Current,SECO,,Misc Non-Ferrous/Non-Metals,Resin,Wet,None,starr,dcmt32.50.5 f1,cp500,180.0,0.001,0.16,117.0,30.117800934,240,25000,60.,8.72,2,15.44502612
001016398,Actual,SECO,51473676,Misc Non-Ferrous/Non-Metals,Resin,Wet,None,starr,dcmt32.50.50mf2,cp500,180.0,0.001,0.16,266.0,68.472949132,240,25000,60.,10.66,2,15.44502612
001016397,Current,SECO,,Misc Non-Ferrous/Non-Metals,Resin,Wet,None,star,dcmt32.50.5 f1,cp500,180.0,0.001,0.11,100.0,31.4863292,240,150000,60,8.72,2,18.89179752
001016397,Actual,SECO,51473676,Misc Non-Ferrous/Non-Metals,Resin,Wet,None,star,dcmt32.5o.5mf2,cp500,180.0,0.001,0.11,250.0,78.715823,240,150000,60,10.66,2,18.89179752
001016395,Current,"ISCAR METALS, INC.",,Austenitic Stainless Steels,316,Wet,Heavy,Lathe,DGN4003J,IC328,400.0,0.0015,0.45,40.0,9.81675392,60,3600,60.00,16.96,1,14.72513088
001016395,Actual,KENNAMETAL,57721169,Austenitic Stainless Steels,316,Wet,Heavy,Lathe,A2040N00CR02,KCU25,450.0,0.003,0.45,120.0,13.08900516,60,3600,60.00,14.81,1,6.54450258
001016389,Current,SECO,,Austenitic Stainless Steels,316,Wet,None,CNC Lathe,CNMM 643 RR6,TM4000,179.0,0.02,0.157,1.0,19.889438131000002,300,5000,65.00,18.60,2,1193.36628786
001016389,Actual,SECO,85394849,Austenitic Stainless Steels,316,Wet,None,CNC Lathe,CNMG 643 MF4,TM4000,179.0,0.02,0.197,1.0,15.53862354,300,5000,65.00,18.58,4,932.3174124
001016364,Current,"ISCAR METALS, INC.",,Austenitic Stainless Steels,304,Wet,Light,CNC Lathe,CNMG432TF,IC907,600.0,0.008,0.1,1.0,81.806282715,480,15000,45,7.82,4,4908.3769629
001016364,Actual,SECO,76865690,Austenitic Stainless Steels,304,Wet,Light,CNC Lathe,WNMG432MF4,TM4000,650.0,0.008,0.1,1.5,113.270237595,480,15000,45,10.85,6,4530.8095038
001016342,Current,KENNAMETAL,,Gray Cast Irons,class 20,Dry,Light,20,OPG 524,KC5010,500.0,0.007,0.09,4.0,1.87284966,60,4000,90.00,30.09,4,28.0927449
001016342,Actual,KENNAMETAL,193623,Gray Cast Irons,class 20,Dry,Light,20,OPG 524,KC5010,500.0,0.007,0.09,4.0,1.87284966,60,4000,90.00,22.26,4,28.0927449
001016340,Current,WALTER-WAUKESHA,,Gray Cast Irons,class 20,Wet,Light,20,SNMM432,VP5515,500.0,0.007,0.09,4.0,1.87284966,60,4000,90.00,19.17,4,28.0927449
001016340,Actual,KENNAMETAL,76369644,Gray Cast Irons,class 20,Wet,Light,20,CMNG432,KCK20,500.0,0.007,0.09,60.0,28.0927449,60,4000,90.00,19.17,4,28.0927449
001016333,Current,KENNAMETAL,,Austenitic Stainless Steels,CF-8M,Wet,Heavy,puma 550,wnmg432mp,kc9240,330.0,0.006,0.09,0.3,5.9495478342000006,60,500,100.00,20.74,6,1189.90956684
001016333,Actual,KENNAMETAL,76370097,Austenitic Stainless Steels,CF-8M,Wet,Heavy,puma 550,wnmg432rp,kcm35,330.0,0.006,0.09,0.5,9.915913057000001,60,500,100.00,19.73,6,1189.90956684
001016331,Current,SANDVIK HARD MATERIALS,,"Ferritic, Martensitic, PH Stainless Steels",416,Wet,Heavy,horiz lathe,wnmg 433,1125,200.0,0.012,0.06,10.0,92.16841188000001,60,600,100.00,16.62,6,553.01047128
001016331,Actual,KENNAMETAL,08343816,"Ferritic, Martensitic, PH Stainless Steels",416,Wet,Heavy,horiz lathe,wnmg433,kcm35,200.0,0.014,0.06,15.0,118.50224385,60,600,100.00,16.78,6,474.0089754
001016327,Current,"ISCAR METALS, INC.",,Low-Carbon Steels,1117,Wet,None,mori seiki nz2000,dgn3102c,ic328,500.0,0.0025,1.625,40.0,1.3612565200000002,60,8000,100.00,27.61,2,2.04188478
001016327,Actual,KENNAMETAL,63214779,Low-Carbon Steels,1117,Wet,None,mori seiki nz2000,a4g0305m03u02gup,kcu10,500.0,0.004,1.625,60.0,1.27617798,60,8000,100.00,24.92,2,1.27617798
001016324,Current,SECO,,Free-Machining Steels,1109,Wet,None,Mazak Nexus,DNMU 331-FF2,TP2500,750.0,0.005,0.015,150.0,19.6335078,1,254800,75,10.83,4,7.85340312
001016324,Actual,"ISCAR METALS, INC.",03052396,Free-Machining Steels,1109,Wet,None,Mazak Nexus,DNMG331NF,IC3028,600.0,0.006,0.015,400.0,54.537521600000005,1,254800,75,13.19,4,8.18062824
001016316,Current,SECO,,"Med-High Plain-Carbon,Alloy, Tool Steels",H13,Dry,Heavy,Okuma,WNMG 432S-00625-L1-C,CBN 160,500.0,0.006,0.015,3.0,75.39267015,120,150,75.0,95.0,3,1507.853403
001016316,Actual,SECO,36762847,"Med-High Plain-Carbon,Alloy, Tool Steels",H13,Dry,Heavy,Okuma,WNMG 432-MF5,TH1000,345.0,0.007,0.08,1.0,5.203082826,120,150,75.0,11.50,3,312.18496956
001016315,Current,"ISCAR METALS, INC.",,Free-Machining Steels,1109,Wet,None,Mazak Nexus 100-2ML,DNMG331FN,KC9110,650.0,0.005,0.015,150.0,22.65404745,1,254800,75,17,4,9.06161898
001016315,Actual,"ISCAR METALS, INC.",03052396,Free-Machining Steels,1109,Wet,None,Mazak Nexus 100-2ML,DNMG331NF,IC3028,600.0,0.005,0.015,350.0,57.26439775000001,1,254800,75,13.19,4,9.8167539
001016314,Current,SUMITOMO ELECTRIC CARBIDE INC,,Low-Carbon Steels,1018,Wet,None,Manuel Lathe,TNMG 432,AC3000,400.0,0.012,0.075,6.0,204.18848172000003,60,1000,75,8.25,6,2041.8848172
001016314,Actual,HERTEL,91788042,Low-Carbon Steels,1018,Wet,None,Manuel Lathe,TNMG 432,HC335,420.0,0.012,0.075,6.0,194.46522067200004,60,1000,75,7.25,6,1944.65220672
001016312,Current,KENNAMETAL,,Titanium & Titanium Alloys,Ti-6Al-4V,Wet,None,CNC Lathe,TPGH222,KC10,200.0,0.003,0.05,20.0,589.0052355600001,120,800,100.00,4.00,3,1767.01570668
001016312,Actual,"ISCAR METALS, INC.",05560560,Titanium & Titanium Alloys,Ti-6Al-4V,Wet,None,CNC Lathe,TPGH222 L,IC20,250.0,0.00478,0.05,26.0,384.45530019,120,30,100.00,4.20,3,887.2045389
001016282,Current,SANDVIK HARD MATERIALS,,Low-Carbon Steels,1117,Wet,None,Hass,DCMT 32.52 MF,GC4225,750.0,0.004,0.02,2.0,23.03664922,60,3000,100,14.25,2,691.0994766
001016282,Actual,KENNAMETAL,65858896,Low-Carbon Steels,1117,Wet,None,Hass,DCMT 32.52 MF,KCP25,900.0,0.004,0.02,2.0,19.19720768,60,3000,100,14.25,2,575.9162304
001016277,Current,"ISCAR METALS, INC.",,Austenitic Stainless Steels,316L,Wet,Heavy,CNC LATHE,CNMG431TF,IC908,300.0,0.008,0.35,35.0,21.474149129999997,360,5000,65,9.51,4,36.81282708
001016277,Actual,SECO,84390145,Austenitic Stainless Steels,316L,Wet,Heavy,CNC LATHE,CNMG433M5,TP2500,450.0,0.01,0.35,75.0,24.541884675,360,5000,65,12.57,4,19.63350774
001016253,Current,MANCHESTER TOOL CO.,,"Nickel-Base, Heat Resistant Alloys",Inconel 625,Wet,None,Hass,gc4312,kc730,80.0,0.007,0.15,1.5,0.6573719145000001,600,500,65,14.37,2,26.29487658
001016253,Actual,SECO,06458301,"Nickel-Base, Heat Resistant Alloys",Inconel 625,Wet,None,Hass,lcmr,cp500,100.0,0.007,0.15,8.0,2.804786832,600,500,65,18.24,2,21.03590124
001016235,Current,SANDVIK HARD MATERIALS,,"Med-High Plain-Carbon,Alloy, Tool Steels",4340,Wet,None,Hass,N151.2-300-5F,GC4125,300.0,0.006,0.03,25.0,29.086678300000003,60,10000,100,10.75,1,69.80802792
001016235,Actual,SECO,82045774,"Med-High Plain-Carbon,Alloy, Tool Steels",4340,Wet,None,Hass,150.10-3N,CP600,400.0,0.006,0.03,35.0,30.541012215000002,60,10000,100,10.75,1,52.35602094
001016219,Current,SANDVIK HARD MATERIALS,,"Nickel-Base, Heat Resistant Alloys",in 102,Wet,None,30,DNMG 432 PF,4235,570.0,0.014,0.1,2.0,15.046057553999999,150,3000,65.00,16.37,4,451.38172662
001016219,Actual,KENNAMETAL,65855173,"Nickel-Base, Heat Resistant Alloys",in 102,Wet,None,30,DNMG 433 MN,KCP10,570.0,0.02,0.1,5.0,26.330600714999996,150,3000,65.00,16.33,4,315.96720858
001016186,Current,VALENITE INC,,Austenitic Stainless Steels,304L,Wet,None,Lathe-Romi M17,TNMG322 M5,VP5615,250.0,0.004,0.15,40.0,241.88481679999998,60,8000,85.00,10.09,2,362.8272252
001016186,Actual,SECO,08603623,Austenitic Stainless Steels,304L,Wet,None,Lathe-Romi M17,LCMF160604-0600FT,CP500,350.0,0.006,0.15,75.0,117.801047025,60,8000,85.00,22.77,2,94.24083762
001016173,Current,SANDVIK HARD MATERIALS,,Low-Carbon Steels,1018,Wet,Light,20,WNMG 433WL,4225,1450.0,0.016,0.1,90.0,15.89298606,180,150000,65.00,6.80,6,10.59532404
001016173,Actual,SECO,60714243,Low-Carbon Steels,1018,Wet,Light,20,WNMG 433 FF2,TP1500,1640.0,0.016,0.1,140.0,21.858239620000003,180,150000,65.00,7.55,6,9.36781698
001016171,Current,SANDVIK HARD MATERIALS,,Low-Carbon Steels,1018,Wet,Light,20,WNMG 433QM,4225,1302.0,0.013,0.1,90.0,34.85452221,180,150000,65.00,6.80,6,23.23634814
001016171,Actual,SECO,56946668,Low-Carbon Steels,1018,Wet,Light,20,WNMG 433 M3,TP3500,1230.0,0.015,0.1,100.0,35.5283133,180,150000,65.00,7.55,6,21.31698798
001016170,Current,SANDVIK HARD MATERIALS,,Low-Carbon Steels,1018,Wet,Light,20,WNMG 432WL,4225,1450.0,0.016,0.02,90.0,25.428777750000002,180,150000,65.00,7.80,6,16.9525185
001016170,Actual,SECO,60714243,Low-Carbon Steels,1018,Wet,Light,20,WNMG 432 WL,TP1500,1640.0,0.016,0.02,100.0,24.9808453,180,150000,65.00,7.55,6,14.98850718
001016162,Current,SECO,,"Ferritic, Martensitic, PH Stainless Steels",17-4PH,Wet,None,Lathe,CNMG 432,4025,350.0,0.01,0.25,40.0,22.43829468,60,5500,65,11.01,4,33.65744202
001016162,Actual,SECO,76873629,"Ferritic, Martensitic, PH Stainless Steels",17-4PH,Wet,None,Lathe,CNMG 432,TM2000,400.0,0.01,0.25,50.0,24.541884749999998,60,5500,65,11.60,4,29.4502617
001016143,Current,KENNAMETAL,,"Med-High Plain-Carbon,Alloy, Tool Steels",4140,Wet,None,lathe,WNMG 432 MG,KC850,250.0,0.005,0.1,50.0,261.7801047,120,200,65.00,19.29,6,314.13612564
001016143,Actual,KENNAMETAL,79261608,"Med-High Plain-Carbon,Alloy, Tool Steels",4140,Wet,None,lathe,WNMG 432 RN,KC9125,650.0,0.009,0.1,65.0,72.71669574,120,200,65.00,17.61,6,67.12310376
001016139,Current,"ISCAR METALS, INC.",,Austenitic Stainless Steels,316L,Wet,Heavy,CNC Lathe,CNMG431,IC328,320.0,0.006,0.25,10.0,5.99912738,360,15000,65,14.35,4,35.99476428
001016139,Actual,SECO,85394799,Austenitic Stainless Steels,316L,Wet,Heavy,CNC Lathe,CNMG433MF4,TM4000,450.0,0.01,0.25,90.0,23.03664912,360,15000,65,16.57,4,15.35776608
001016112,Current,SUMITOMO ELECTRIC CARBIDE INC,,"Med-High Plain-Carbon,Alloy, Tool Steels",1045,Wet,None,mori selei,wnmg 432 emx,ac2000,600.0,0.016,0.25,22.0,37.494546209999996,180,"40,000",45.,5.35,6,102.2578533
001016112,Actual,HERTEL,37771243,"Med-High Plain-Carbon,Alloy, Tool Steels",1045,Wet,None,mori selei,wnmg432 l5,hc125t,600.0,0.0165,0.25,23.0,38.011000025,180,"40,000",45.,5.21,6,99.1591305
001016111,Current,SANDVIK HARD MATERIALS,,"Med-High Plain-Carbon,Alloy, Tool Steels",4140,Dry,None,Chuck Lathe,VNGA 160408S01525,6050,325.0,0.001,0.007,5.0,18.123238030000003,300,15000,175,14.,4,217.47885636
